Date,BTCUSD
2015-10-08,242.5
2015-10-09,243.95
2015-10-10,245.39
2015-10-11,246.3
2015-10-12,249.5
2015-10-13,247.6
2015-10-14,250
2015-10-15,253
2015-10-16,255.9
2015-10-17,263.75
2015-10-18,272.47
2015-10-19,268.46
2015-10-20,272.49
2015-10-21,272.1
2015-10-22,271.64
2015-10-23,276.89
2015-10-24,280.2
2015-10-25,285
2015-10-26,289.38
2015-10-27,288.54
2015-10-28,298.2
2015-10-29,307.05
2015-10-30,314.89
2015-10-31,330.36
2015-11-01,315
2015-11-02,330
2015-11-03,367.85
2015-11-04,400
2015-11-05,410
2015-11-06,379.42
2015-11-07,376
2015-11-08,388.13
2015-11-09,377
2015-11-10,381.46
2015-11-11,336.18
2015-11-12,306
2015-11-13,335.5
2015-11-14,338.45
2015-11-15,349.99
2015-11-16,318.66
2015-11-17,336.99
2015-11-18,334.51
2015-11-19,335.99
2015-11-20,325.01
2015-11-21,320.51
2015-11-22,325.22
2015-11-23,324.37
2015-11-24,322.75
2015-11-25,317.52
2015-11-26,327.5
2015-11-27,360
2015-11-28,360.4
2015-11-29,357
2015-11-30,368.11
2015-12-01,377.29
2015-12-02,363.01
2015-12-03,361.18
2015-12-04,361.5
2015-12-05,362.03
2015-12-06,385.82
2015-12-07,395.5
2015-12-08,398.62
2015-12-09,412.13
2015-12-10,418.98
2015-12-11,416.49
2015-12-12,452
2015-12-13,435
2015-12-14,435.9
2015-12-15,445.7
2015-12-16,465.99
2015-12-17,456.34
2015-12-18,458
2015-12-19,463.02
2015-12-20,461.8
2015-12-21,439.51
2015-12-22,437.99
2015-12-23,435.82
2015-12-24,444.54
2015-12-25,455.46
2015-12-26,458.59
2015-12-27,418.72
2015-12-28,422.06
2015-12-29,420.8
2015-12-30,430.76
2015-12-31,428.24
2016-01-01,432.5
2016-01-02,434.55
2016-01-03,435.75
2016-01-04,424.26
2016-01-05,435
2016-01-06,432.98
2016-01-07,431.1
2016-01-08,457
2016-01-09,456.68
2016-01-10,450.11
2016-01-11,444.6
2016-01-12,451.28
2016-01-13,445.4
2016-01-14,431.68
2016-01-15,430.42
2016-01-16,372.04
2016-01-17,384.25
2016-01-18,383.9
2016-01-19,385.03
2016-01-20,380.58
2016-01-21,417.51
2016-01-22,412.14
2016-01-23,393
2016-01-24,387.8
2016-01-25,401.74
2016-01-26,393.08
2016-01-27,389
2016-01-28,395.54
2016-01-29,380.92
2016-01-30,379.39
2016-01-31,378.33
2016-02-01,370
2016-02-02,371.74
2016-02-03,373.2
2016-02-04,368.7
2016-02-05,390.17
2016-02-06,387.21
2016-02-07,375.31
2016-02-08,376.03
2016-02-09,371.47
2016-02-10,374
2016-02-11,380.07
2016-02-12,376.09
2016-02-13,383.85
2016-02-14,386.51
2016-02-15,406.18
2016-02-16,398.27
2016-02-17,406.72
2016-02-18,415.9
2016-02-19,422.21
2016-02-20,419.04
2016-02-21,440.75
2016-02-22,439.28
2016-02-23,436.45
2016-02-24,418.77
2016-02-25,421.32
2016-02-26,423.98
2016-02-27,427.5
2016-02-28,431.47
2016-02-29,431.59
2016-03-01,437.05
2016-03-02,432.32
2016-03-03,423.97
2016-03-04,419.24
2016-03-05,408.87
2016-03-06,393.5
2016-03-07,403.44
2016-03-08,413.16
2016-03-09,412.09
2016-03-10,410.79
2016-03-11,414.68
2016-03-12,418.93
2016-03-13,409.72
2016-03-14,411.18
2016-03-15,413.99
2016-03-16,416
2016-03-17,416
2016-03-18,418.95
2016-03-19,407.59
2016-03-20,409.88
2016-03-21,410.99
2016-03-22,411.4
2016-03-23,416.83
2016-03-24,417.01
2016-03-25,415.55
2016-03-26,416.11
2016-03-27,416.92
2016-03-28,424.47
2016-03-29,422.16
2016-03-30,414.25
2016-03-31,413.7
2016-04-01,416.36
2016-04-02,416.48
2016-04-03,420
2016-04-04,419.45
2016-04-05,419.99
2016-04-06,422.48
2016-04-07,422.82
2016-04-08,422.59
2016-04-09,418.39
2016-04-10,416.67
2016-04-11,420.73
2016-04-12,423.23
2016-04-13,426.43
2016-04-14,424.53
2016-04-15,424.96
2016-04-16,429.53
2016-04-17,429.99
2016-04-18,426.2
2016-04-19,427.99
2016-04-20,435
2016-04-21,443.54
2016-04-22,451
2016-04-23,447.79
2016-04-24,452
2016-04-25,461.05
2016-04-26,465.9
2016-04-27,468.44
2016-04-28,448.44
2016-04-29,448.99
2016-04-30,455.91
2016-05-01,450.3
2016-05-02,452.66
2016-05-03,446.36
2016-05-04,451.99
2016-05-05,448
2016-05-06,448.99
2016-05-07,461.36
2016-05-08,459.66
2016-05-09,458
2016-05-10,460.98
2016-05-11,451.75
2016-05-12,451.98
2016-05-13,453.99
2016-05-14,457.46
2016-05-15,456.67
