Date,BTCUSD,ETHUSD,LTCUSD
2015-10-08,242.5,0.62,3.061340
2015-10-09,243.95,0.6352,3.069130
2015-10-10,245.39,0.6351,3.112350
2015-10-11,246.3,0.5993,3.108680
2015-10-12,249.5,0.63,3.149030
2015-10-13,247.6,0.6017,3.139090
2015-10-14,250,0.5,3.181530
2015-10-15,253,0.56,3.149950
2015-10-16,255.9,0.525,3.108640
2015-10-17,263.75,0.523,3.111240
2015-10-18,272.47,0.505,3.074110
2015-10-19,268.46,0.5,3.030620
2015-10-20,272.49,0.44,3.052580
2015-10-21,272.1,0.42,3.093440
2015-10-22,271.64,0.609,3.080790
2015-10-23,276.89,0.5649,3.120430
2015-10-24,280.2,0.5561,3.112660
2015-10-25,285,0.62,3.109720
2015-10-26,289.38,0.706,3.071100
2015-10-27,288.54,0.83,3.107030
2015-10-28,298.2,0.99,3.099300
2015-10-29,307.05,1.12,3.102480
2015-10-30,314.89,1.14,3.768570
2015-10-31,330.36,0.8676,4.083560
2015-11-01,315,0.99,3.815090
2015-11-02,330,0.9878,3.982890
2015-11-03,367.85,1.06,4.174970
2015-11-04,400,0.799,4.579900
2015-11-05,410,0.8764,4.199550
2015-11-06,379.42,0.9899,3.945240
2015-11-07,376,0.93,3.551240
2015-11-08,388.13,1,3.619870
2015-11-09,377,0.998,3.432860
2015-11-10,381.46,0.9,3.400390
2015-11-11,336.18,0.75,3.117110
2015-11-12,306,0.88,2.972150
2015-11-13,335.5,0.9,3.268640
2015-11-14,338.45,0.88,3.223370
2015-11-15,349.99,0.9193,3.198640
2015-11-16,318.66,0.925,3.066450
2015-11-17,336.99,1,3.190370
2015-11-18,334.51,0.9973,3.198910
2015-11-19,335.99,0.94,3.191230
2015-11-20,325.01,0.92,3.136040
2015-11-21,320.51,0.96,3.117440
2015-11-22,325.22,0.97,3.163290
2015-11-23,324.37,0.92,3.143890
2015-11-24,322.75,0.91,3.130360
2015-11-25,317.52,0.87,3.113830
2015-11-26,327.5,0.86,3.351390
2015-11-27,360,0.88,3.601400
2015-11-28,360.4,0.91,3.575410
2015-11-29,357,0.87,3.534360
2015-11-30,368.11,0.88,3.664370
2015-12-01,377.29,0.87,3.626080
2015-12-02,363.01,0.82,3.430930
2015-12-03,361.18,0.83,3.346720
2015-12-04,361.5,0.84,3.382330
2015-12-05,362.03,0.8699,3.369940
2015-12-06,385.82,0.825,3.525380
2015-12-07,395.5,0.79,3.452550
2015-12-08,398.62,0.8102,3.647670
2015-12-09,412.13,0.8051,3.682820
2015-12-10,418.98,0.8437,3.669640
2015-12-11,416.49,0.8998,3.672990
2015-12-12,452,0.96,3.842520
2015-12-13,435,0.9199,3.596300
2015-12-14,435.9,0.99,3.636880
2015-12-15,445.7,1,3.618420
2015-12-16,465.99,0.803,3.838910
2015-12-17,456.34,0.94,3.704110
2015-12-18,458,0.9,3.751320
2015-12-19,463.02,0.8935,3.765160
2015-12-20,461.8,1.07,3.740560
2015-12-21,439.51,0.91,3.546210
2015-12-22,437.99,0.88,3.458780
2015-12-23,435.82,0.8709,3.432380
2015-12-24,444.54,0.87,3.590190
2015-12-25,455.46,0.88,3.648880
2015-12-26,458.59,0.853,3.641140
2015-12-27,418.72,0.918,3.420320
2015-12-28,422.06,0.8749,3.477810
2015-12-29,420.8,0.86,3.470630
2015-12-30,430.76,0.8925,3.512000
2015-12-31,428.24,0.9488,3.459300
2016-01-01,432.5,0.92,3.479520
2016-01-02,434.55,0.9547,3.515280
2016-01-03,435.75,0.96,3.504000
2016-01-04,424.26,0.95,3.479100
2016-01-05,435,0.9426,3.492000
2016-01-06,432.98,0.95,3.467060
2016-01-07,431.1,0.94,3.450070
2016-01-08,457,0.985,3.596800
2016-01-09,456.68,0.985,3.574350
2016-01-10,450.11,1,3.559160
2016-01-11,444.6,1.08,3.526270
2016-01-12,451.28,1.22,3.553020
2016-01-13,445.4,1.14,3.489980
2016-01-14,431.68,1.16,3.470930
2016-01-15,430.42,1.2,3.464040
2016-01-16,372.04,1.22,2.965720
2016-01-17,384.25,1.31,3.087320
2016-01-18,383.9,1.47,3.019550
2016-01-19,385.03,1.22,3.047660
2016-01-20,380.58,1.54,3.014800
2016-01-21,417.51,1.54,3.384230
2016-01-22,412.14,1.52,3.231050
2016-01-23,393,2.03,3.082030
2016-01-24,387.8,2.1,3.113510
2016-01-25,401.74,2.5,3.187950
2016-01-26,393.08,2.3,3.125370
2016-01-27,389,2.42,3.159350
2016-01-28,395.54,2.55,3.292860
2016-01-29,380.92,2.41,3.138400
2016-01-30,379.39,2.44,3.118130
2016-01-31,378.33,2.2,3.096930
2016-02-01,370,2.17,3.073430
2016-02-02,371.74,2.45,3.088010
2016-02-03,373.2,2.53,3.086390
2016-02-04,368.7,2.57,3.057530
2016-02-05,390.17,2.56,3.171510
2016-02-06,387.21,2.53,3.149970
2016-02-07,375.31,3,3.109600
2016-02-08,376.03,3.16,3.091900
2016-02-09,371.47,3.76,3.076080
2016-02-10,374,4.35,3.088980
2016-02-11,380.07,6.38,3.112140
2016-02-12,376.09,5.27,3.092240
2016-02-13,383.85,5.22,3.118120
2016-02-14,386.51,5.2,3.147730
2016-02-15,406.18,5.22,3.232040
2016-02-16,398.27,4.25,3.202270
2016-02-17,406.72,3.86,3.227310
2016-02-18,415.9,4.36,3.245200
2016-02-19,422.21,4.45,3.260450
2016-02-20,419.04,4.37,3.268110
2016-02-21,440.75,4.63,3.459970
2016-02-22,439.28,5.6,3.465920
2016-02-23,436.45,5.7,3.488810
2016-02-24,418.77,6.23,3.403270
2016-02-25,421.32,5.93,3.386110
2016-02-26,423.98,6.03,3.369490
2016-02-27,427.5,6.31,3.428810
2016-02-28,431.47,6.5,3.414160
2016-02-29,431.59,6.35,3.441200
2016-03-01,437.05,7.59,3.448350
2016-03-02,432.32,8.7,3.434360
2016-03-03,423.97,9.35,3.363740
2016-03-04,419.24,9.96,3.321500
2016-03-05,408.87,11,3.251720
2016-03-06,393.5,10.98,3.191490
2016-03-07,403.44,9.5,3.221620
2016-03-08,413.16,9.88,3.271410
2016-03-09,412.09,11.55,3.250550
2016-03-10,410.79,11.11,3.277910
2016-03-11,414.68,11.25,3.286320
2016-03-12,418.93,13.25,3.391130
2016-03-13,409.72,15,3.289420
2016-03-14,411.18,12.5,3.309090
2016-03-15,413.99,13.09,3.303290
2016-03-16,416,12.92,3.307110
2016-03-17,416,11.14,3.311360
2016-03-18,418.95,10.75,3.307150
2016-03-19,407.59,10.55,3.170780
2016-03-20,409.88,10.06,3.181530
2016-03-21,410.99,11.97,3.205190
2016-03-22,411.4,10.96,3.200040
2016-03-23,416.83,12.29,3.233840
2016-03-24,417.01,11.13,3.245020
2016-03-25,415.55,10.69,3.227840
2016-03-26,416.11,11,3.227720
2016-03-27,416.92,10.5,3.231820
2016-03-28,424.47,11.58,3.302910
2016-03-29,422.16,11.73,3.261760
2016-03-30,414.25,11.88,3.226650
2016-03-31,413.7,11.41,3.225480
2016-04-01,416.36,11.63,3.245750
2016-04-02,416.48,11.61,3.245900
2016-04-03,420,11.58,3.261450
2016-04-04,419.45,11.1,3.261300
2016-04-05,419.99,10.39,3.246040
2016-04-06,422.48,10.79,3.258520
2016-04-07,422.82,10.08,3.257010
2016-04-08,422.59,9.74,3.241910
2016-04-09,418.39,9.16,3.224020
2016-04-10,416.67,8.8,3.221860
2016-04-11,420.73,8.72,3.227450
2016-04-12,423.23,7.53,3.240140
2016-04-13,426.43,8.02,3.262950
2016-04-14,424.53,8.48,3.245740
2016-04-15,424.96,8.22,3.243210
2016-04-16,429.53,8.48,3.279850
2016-04-17,429.99,9.45,3.280050
2016-04-18,426.2,8.92,3.260370
2016-04-19,427.99,8.77,3.248900
2016-04-20,435,8.54,3.291750
2016-04-21,443.54,8.15,3.280930
2016-04-22,451,7.83,3.346790
2016-04-23,447.79,8.31,3.320780
2016-04-24,452,8,3.346360
2016-04-25,461.05,7.43,3.622860
2016-04-26,465.9,7.5,3.795590
2016-04-27,468.44,7.77,4.048610
2016-04-28,448.44,7.3,3.878860
2016-04-29,448.99,7.51,3.792070
2016-04-30,455.91,8.83,3.813480
2016-05-01,450.3,8.76,3.657500
2016-05-02,452.66,10.03,3.708710
2016-05-03,446.36,9.37,3.682110
2016-05-04,451.99,9.43,3.741840
2016-05-05,448,9.79,3.741810
2016-05-06,448.99,9.27,3.716130
2016-05-07,461.36,9.3,3.819520
2016-05-08,459.66,9.44,3.936410
2016-05-09,458,9.32,3.937630
2016-05-10,460.98,9.39,4.057970
2016-05-11,451.75,9.97,3.820330
2016-05-12,451.98,10.1,3.881340
2016-05-13,453.99,10.48,3.855270
2016-05-14,457.46,10.14,3.927280
2016-05-15,456.67,9.94,4.014090
2016-05-16,457.99,11.04,4.063080
2016-05-17,454.43,12.26,4.003640
2016-05-18,454.69,13.29,3.979800
2016-05-19,455.01,14.49,4.002440
2016-05-20,443.01,13.73,3.824930
2016-05-21,442.99,13.95,3.883520
2016-05-22,443.41,14.21,3.956590
2016-05-23,437.74,13.45,3.922930
2016-05-24,443.86,12.62,3.963880
2016-05-25,445.87,12.53,3.950810
2016-05-26,449.9,12.37,4.045260
2016-05-27,454.27,11.11,4.089420
2016-05-28,476.99,11.56,4.510950
2016-05-29,526.87,12.28,4.688730
2016-05-30,519.29,12.48,4.632640
2016-05-31,532.66,13.85,4.687600
2016-06-01,530.62,13.83,4.653290
2016-06-02,539.99,13.78,4.744650
2016-06-03,539.78,13.78,4.719580
2016-06-04,570.02,13.66,4.863190
2016-06-05,573.51,13.85,4.798430
2016-06-06,574.05,13.96,4.814460
2016-06-07,584.44,14.41,4.954820
2016-06-08,580,14.44,4.774290
2016-06-09,581.99,14.49,4.777880
2016-06-10,579.13,13.97,4.752000
2016-06-11,578.99,14.01,4.882340
2016-06-12,597.77,15.57,5.067300
2016-06-13,663.09,17.55,5.414650
2016-06-14,704,18.7,5.305180
2016-06-15,685.37,18.3,5.223100
2016-06-16,692.93,20.61,5.253050
2016-06-17,764.76,15.49,5.672430
2016-06-18,757.06,11.36,5.603990
2016-06-19,755.14,12.33,5.560370
2016-06-20,763.99,11.7,5.625190
2016-06-21,741.84,12.71,5.273550
2016-06-22,673.71,13.21,4.827530
2016-06-23,600.16,13.58,3.918140
2016-06-24,628.11,14.25,3.851830
2016-06-25,662.66,14.28,4.274600
2016-06-26,665.15,13.82,4.243010
2016-06-27,631.14,14.04,4.051530
2016-06-28,650.09,12.15,4.137750
2016-06-29,648.78,12.76,4.101690
2016-06-30,640.32,12.4,4.077380
2016-07-01,673.43,12.23,4.193490
2016-07-02,680.96,12.04,4.277770
2016-07-03,699.99,11.85,4.660930
2016-07-04,664.67,11.34,4.272690
2016-07-05,679.45,10.45,4.557790
2016-07-06,666.23,10.51,4.464460
2016-07-07,674.99,10.07,4.496560
2016-07-08,637.99,11.3,4.115670
2016-07-09,661.99,10.92,4.237390
2016-07-10,654.78,10.97,4.121570
2016-07-11,649.99,10.58,4.121180
2016-07-12,650.83,10.54,4.092190
2016-07-13,673.99,10.44,4.162830
2016-07-14,661.55,11.55,4.140980
2016-07-15,658.98,11.88,4.154460
2016-07-16,665,11.59,4.152710
2016-07-17,663.84,11.19,4.137720
2016-07-18,678.34,11.03,4.199390
2016-07-19,672.74,11.63,4.152750
2016-07-20,672.98,12.54,4.149990
2016-07-21,664.86,12.66,4.133190
2016-07-22,665.86,14.82,4.125780
2016-07-23,649.03,14.4,4.042600
2016-07-24,655.92,12.63,4.063750
2016-07-25,663.95,13.84,4.072620
2016-07-26,656.26,12.08,4.037190
2016-07-27,655.16,13.05,3.964910
2016-07-28,658.24,12.87,3.965760
2016-07-29,657.32,12.87,3.974790
2016-07-30,657.99,12.57,4.082660
2016-07-31,655.01,11.86,4.079580
2016-08-01,622.17,11.04,4.062910
2016-08-02,606.78,8.3,3.871690
2016-08-03,515.86,10.42,3.639430
2016-08-04,572.38,11.21,3.711970
2016-08-05,585,11.05,3.742010
2016-08-06,575.51,10.95,3.721160
2016-08-07,588.16,10.98,3.758680
2016-08-08,593.65,11.29,3.774510
2016-08-09,595.65,12.22,3.782840
2016-08-10,585.76,12.22,3.761760
2016-08-11,595.14,11.68,3.717410
2016-08-12,587.57,11.78,3.738460
2016-08-13,588.83,11.56,3.708670
2016-08-14,586.99,11.21,3.715710
2016-08-15,571.7,11.21,3.648290
2016-08-16,569.33,11.17,3.585030
2016-08-17,580.35,10.77,3.645110
2016-08-18,574.99,10.77,3.602800
2016-08-19,574.08,10.71,3.610980
